COD_ART,DESCRIPCION,PRECIO
0,Ankle Socks (Cyan) (6 Pack),6.87
1,Polo Shirt (Cyan) - XL,
2,,12.99
3,Tank Top (Cyan) - XL,8.99
4,Plastic Storage Bin (Cyan) (4 Pack),19.96
5,T-Shirt (Cyan) - XL,14.99
6,Crew Socks (Cyan) (2 Pack),2.99
7,Crew Socks (Cyan) (6 Pack),8.97
8,Wire Bound Sketch Pad (Cyan),11.99
9,Ankle Socks (Cyan) (2 Pack),2.29
10,Plastic Storage Bin (Cyan) (12 Pack),59.88
11,Crew Socks (Cyan) (12 Pack),17.94
12,,3.49
13,Kitchen Floor Mat (Cyan) - L,12.99
14,Kitchen Floor Mat (Cyan) - S,12.99
15,T-Shirt (Cyan) - S,14.99
16,Golf Balls (Cyan) (30 Pack),29.97
17,Hardbound Sketch Book (Cyan),15.99
18,Tank Top (Cyan) - M,8.99
19,Tank Top (Cyan) - S,8.99
20,Golf Balls (Cyan) (60 Pack),59.94
21,Plastic Drawer Organizer (Cyan),8.99
22,Plastic Storage Bin (Cyan) (Single),4.99
23,Small Notepad (Cyan),7.99
24,3 Ring Binder (Cyan) (4 Pack),13.96
25,Children's Sippy Cup (Cyan),6.99
26,T-Shirt (Cyan) - L,14.99
27,Plastic Storage Bin (Cyan) (8 Pack),39.92
28,3 Ring Binder (Cyan) (12 Pack),41.88
29,Ankle Socks (Cyan) (12 Pack),13.74
30,Zip-up Hoodie (Cyan) - M,49.99
31,Badminton Racket (Cyan),15.99
32,Long Sleeve Flannel Shirt (Cyan) - XL,21.99
33,Zip-up Hoodie (Cyan) - S,49.99
34,Long Sleeve Flannel Shirt (Cyan) - S,21.99
35,Kitchen Floor Mat (Cyan) - XL,12.99
36,Long Sleeve Flannel Shirt (Cyan) - M,21.99
37,Polo Shirt (Cyan) - S,34.99
38,Polo Shirt (Cyan) - M,34.99
39,3 Ring Binder (Cyan) (2 Pack),6.98
40,Knit Hat (Cyan),12.99
41,Plastic Storage Bin (Cyan) (2 Pack),9.98
42,Golf Balls (Cyan) (10 Pack),9.99
43,T-Shirt (Cyan) - M,14.99
44,Polo Shirt (Cyan) - L,34.99
45,Zip-up Hoodie (Cyan) - XL,49.99
46,Tank Top (Cyan) - L,8.99
47,Long Sleeve Flannel Shirt (Cyan) - L,21.99
48,Zip-up Hoodie (Cyan) - L,49.99
