COD_CIU,NOMBRE
0,Cayuga
1,Butte
2,Lava Hot Springs
3,San Manuel
4,Coffee Creek
5,Lisbon
6,Coleridge
7,Flaxton
8,Saint Ignatius
9,Red Valley
10,Iroquois
11,Boise
12,Helena
13,Tucson
14,Wessington
15,Cochiti Pueblo
16,Sioux Falls
17,Joliet
18,Star
19,Steamboat Springs
20,Ketchum
21,Chino
22,Eureka
23,Webster
24,Minneapolis
25,Colorado Springs
26,Leonard
27,Duluth
28,Denver
29,Medicine Bow
30,Black Hawk
31,Burbank
32,Kanab
33,Yuma
34,West Yellowstone
35,Algodones
36,Peever
37,Burnsville
38,Hyrum
39,Saint Cloud
40,Ypsilanti
41,Alamo
42,Bighorn
43,Mesa
44,Cheyenne
45,Sandy
46,Rosebud
47,
48,Chicago
