COD_MAT,DESCRIPCION
0,Hassium
1,Ununtrium
2,Mercury
3,Californium
4,Iridium
5,Radon
6,Mendelevium
7,Palladium
8,Astatine
9,Actinium
10,Thallium
11,Rhodium
12,Lawrencium
13,Ununquadium
14,Seaborgium
15,Ruthenium
16,Molybdenum
17,Plutonium
18,Dubnium
19,Meitnerium
20,Platinum
21,Niobium
22,Bohrium
23,Bismuth
24,Fermium
25,Americium
26,Ununbium
27,Gold
28,Ununpentium
29,Silver
30,Tungsten
31,Nobelium
32,Protactinium
33,Technetium
34,Radium
35,Cadmium
36,Thorium
37,Indium
38,Francium
39,Lead
40,Uranium
41,Berkelium
42,Polonium
43,Osmium
44,Rhenium
45,Einsteinium
46,Roentgenium
47,Curium
48,Neptunium
